t.uri	pref.uri
http://purl.obolibrary.org/obo/ENVO_01000240	http://purl.obolibrary.org/obo/ENVO_01000196
http://purl.obolibrary.org/obo/ENVO_02000049	http://purl.obolibrary.org/obo/ENVO_00002150
http://purl.obolibrary.org/obo/ENVO_00002019 ---REMOVED--- http://purl.obolibrary.org/obo/ENVO_01000322

http://purl.obolibrary.org/obo/ENVO_00000570 ---REMOVED--- http://purl.obolibrary.org/obo/ENVO_01000322
http://purl.obolibrary.org/obo/ENVO_00000570	http://purl.obolibrary.org/obo/ENVO_00002019

http://purl.obolibrary.org/obo/ENVO_00000190	http://purl.obolibrary.org/obo/ENVO_01000027

http://purl.obolibrary.org/obo/ENVO_00002031	http://purl.obolibrary.org/obo/ENVO_00000002
http://purl.obolibrary.org/obo/ENVO_00000106	http://purl.obolibrary.org/obo/ENVO_01000177
http://purl.obolibrary.org/obo/ENVO_00000181 ---REMOVED--- http://purl.obolibrary.org/obo/ENVO_00000081
http://purl.obolibrary.org/obo/ENVO_00002009	http://purl.obolibrary.org/obo/ENVO_00000446
http://purl.obolibrary.org/obo/ENVO_00000109	http://purl.obolibrary.org/obo/ENVO_01000175
http://purl.obolibrary.org/obo/ENVO_00000104	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_00000113	http://purl.obolibrary.org/obo/ENVO_00000077
http://purl.obolibrary.org/obo/ENVO_00000360	http://purl.obolibrary.org/obo/ENVO_01000174
http://purl.obolibrary.org/obo/ENVO_00000302	http://purl.obolibrary.org/obo/ENVO_00000100
http://purl.obolibrary.org/obo/ENVO_00000377	http://purl.obolibrary.org/obo/ENVO_01000252
http://purl.obolibrary.org/obo/ENVO_00000029	http://eol.org/schema/terms/lotic

By Jen: https://eol-jira.bibalex.org/browse/DATA-1858?focusedCommentId=65352&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-65352
http://purl.obolibrary.org/obo/ENVO_01001457	http://eol.org/schema/terms/cloud_forest
http://purl.obolibrary.org/obo/ENVO_01001019	http://eol.org/schema/terms/eutrophicFreshwaterLake
